item_name,category,price,cost,date,units_sold,revenue,total_cost,profit,day_of_week,hour,table_number,customers_per_table,items_per_ticket
Hamburguesa Angus,Comida Rápida,28000,11200,2024-11-03,9,252000,100800,151200,Sunday,15,6,4,2
Modelo Especial,Cervezas,8000,3200,2024-11-03,22,176000,70400,105600,Sunday,16,8,5,3
Alitas BBQ,Comida Rápida,18000,7200,2024-11-04,3,54000,21600,32400,Monday,19,1,2,1
Corona Extra,Cervezas,8000,3200,2024-11-04,5,40000,16000,24000,Monday,20,1,2,1
Quesadillas Mixtas,Comida Rápida,15000,6000,2024-11-04,4,60000,24000,36000,Monday,21,3,2,2
Cerveza Artesanal,Cervezas,12000,4800,2024-11-04,4,48000,19200,28800,Monday,20,3,2,2
Arrachera 300g,Cortes Premium,38000,19000,2024-11-05,5,190000,95000,95000,Tuesday,20,2,2,2
Margarita Clásica,Cocteles,18000,5400,2024-11-05,6,108000,32400,75600,Tuesday,21,2,2,2
Nachos Supreme,Comida Rápida,16000,6400,2024-11-05,5,80000,32000,48000,Tuesday,19,4,3,2
Michelada Especial,Cocteles,15000,4500,2024-11-05,7,105000,31500,73500,Tuesday,20,4,3,2
Rib Eye 350g,Cortes Premium,45000,22500,2024-11-06,6,270000,135000,135000,Wednesday,20,1,2,2
Caipirinha,Cocteles,18000,5400,2024-11-06,7,126000,37800,88200,Wednesday,21,1,2,2
Tacos de Arrachera,Comida Rápida,22000,8800,2024-11-06,8,176000,70400,105600,Wednesday,19,5,3,2
Mojito Cubano,Cocteles,20000,6000,2024-11-06,8,160000,48000,112000,Wednesday,21,5,3,2
T-Bone 400g,Cortes Premium,52000,26000,2024-11-07,7,364000,182000,182000,Thursday,20,2,3,2
Piña Colada,Cocteles,19000,5700,2024-11-07,9,171000,51300,119700,Thursday,21,2,3,2
Costillas BBQ,Platos Fuertes,35000,14000,2024-11-07,7,245000,98000,147000,Thursday,19,4,2,2
Corona Extra,Cervezas,8000,3200,2024-11-07,14,112000,44800,67200,Thursday,20,6,4,3
New York Strip,Cortes Premium,48000,24000,2024-11-08,16,768000,384000,384000,Friday,20,1,4,4
Margarita Clásica,Cocteles,18000,5400,2024-11-08,22,396000,118800,277200,Friday,21,1,4,4
Filete Mignon,Cortes Premium,55000,27500,2024-11-08,7,385000,192500,192500,Friday,21,3,2,3
Whisky JW Black,Licores,25000,12500,2024-11-08,11,275000,137500,137500,Friday,23,5,2,2
Hamburguesa Angus,Comida Rápida,28000,11200,2024-11-08,14,392000,156800,235200,Friday,19,7,4,3
Tequila Don Julio,Licores,22000,11000,2024-11-08,9,198000,99000,99000,Friday,22,7,4,3
Rib Eye 350g,Cortes Premium,45000,22500,2024-11-09,18,810000,405000,405000,Saturday,20,2,4,4
Mojito Cubano,Cocteles,20000,6000,2024-11-09,24,480000,144000,336000,Saturday,21,2,4,4
Arrachera 300g,Cortes Premium,38000,19000,2024-11-09,12,456000,228000,228000,Saturday,19,4,3,3
Michelada Especial,Cocteles,15000,4500,2024-11-09,28,420000,126000,294000,Saturday,18,8,6,4
Tacos de Arrachera,Comida Rápida,22000,8800,2024-11-09,18,396000,158400,237600,Saturday,20,6,4,3
Caipirinha,Cocteles,18000,5400,2024-11-09,16,288000,86400,201600,Saturday,22,6,4,3
T-Bone 400g,Cortes Premium,52000,26000,2024-11-09,14,728000,364000,364000,Saturday,21,10,4,4
Piña Colada,Cocteles,19000,5700,2024-11-09,18,342000,102600,239400,Saturday,22,10,4,4
Costillas BBQ,Platos Fuertes,35000,14000,2024-11-10,8,280000,112000,168000,Sunday,14,1,3,2
Bloody Mary,Cocteles,17000,5100,2024-11-10,10,170000,51000,119000,Sunday,13,1,3,2
Alitas BBQ,Comida Rápida,18000,7200,2024-11-10,10,180000,72000,108000,Sunday,15,5,4,2
Modelo Especial,Cervezas,8000,3200,2024-11-10,24,192000,76800,115200,Sunday,16,7,5,3
Hamburguesa Angus,Comida Rápida,28000,11200,2024-11-10,8,224000,89600,134400,Sunday,14,9,3,2
Corona Extra,Cervezas,8000,3200,2024-11-10,16,128000,51200,76800,Sunday,15,9,3,2
Nachos Supreme,Comida Rápida,16000,6400,2024-11-11,3,48000,19200,28800,Monday,19,2,2,1
Cerveza Artesanal,Cervezas,12000,4800,2024-11-11,4,48000,19200,28800,Monday,20,2,2,1
Quesadillas Mixtas,Comida Rápida,15000,6000,2024-11-11,5,75000,30000,45000,Monday,21,4,2,2
Michelada Especial,Cocteles,15000,4500,2024-11-11,5,75000,22500,52500,Monday,20,4,2,2
Arrachera 300g,Cortes Premium,38000,19000,2024-11-12,6,228000,114000,114000,Tuesday,20,1,2,2
Margarita Clásica,Cocteles,18000,5400,2024-11-12,7,126000,37800,88200,Tuesday,21,1,2,2
Rib Eye 350g,Cortes Premium,45000,22500,2024-11-12,5,225000,112500,112500,Tuesday,19,3,2,2
Mojito Cubano,Cocteles,20000,6000,2024-11-12,6,120000,36000,84000,Tuesday,20,3,2,2
New York Strip,Cortes Premium,48000,24000,2024-11-13,7,336000,168000,168000,Wednesday,20,2,2,2
Caipirinha,Cocteles,18000,5400,2024-11-13,8,144000,43200,100800,Wednesday,21,2,2,2
Tacos de Arrachera,Comida Rápida,22000,8800,2024-11-13,9,198000,79200,118800,Wednesday,19,4,3,2
Piña Colada,Cocteles,19000,5700,2024-11-13,8,152000,45600,106400,Wednesday,20,4,3,2
Filete Mignon,Cortes Premium,55000,27500,2024-11-14,6,330000,165000,165000,Thursday,20,1,2,2
Whisky JW Black,Licores,25000,12500,2024-11-14,7,175000,87500,87500,Thursday,22,1,2,2
Costillas BBQ,Platos Fuertes,35000,14000,2024-11-14,8,280000,112000,168000,Thursday,19,3,3,2
Corona Extra,Cervezas,8000,3200,2024-11-14,15,120000,48000,72000,Thursday,20,5,4,3
T-Bone 400g,Cortes Premium,52000,26000,2024-11-15,17,884000,442000,442000,Friday,20,2,4,4
Margarita Clásica,Cocteles,18000,5400,2024-11-15,24,432000,129600,302400,Friday,21,2,4,4
Rib Eye 350g,Cortes Premium,45000,22500,2024-11-15,13,585000,292500,292500,Friday,19,4,3,3
Tequila Don Julio,Licores,22000,11000,2024-11-15,10,220000,110000,110000,Friday,23,4,3,3
Hamburguesa Angus,Comida Rápida,28000,11200,2024-11-15,15,420000,168000,252000,Friday,20,6,4,3
Michelada Especial,Cocteles,15000,4500,2024-11-15,22,330000,99000,231000,Friday,18,8,5,4
New York Strip,Cortes Premium,48000,24000,2024-11-16,20,960000,480000,480000,Saturday,20,1,4,4
Mojito Cubano,Cocteles,20000,6000,2024-11-16,28,560000,168000,392000,Saturday,21,1,4,4
Arrachera 300g,Cortes Premium,38000,19000,2024-11-16,14,532000,266000,266000,Saturday,19,3,4,3
Caipirinha,Cocteles,18000,5400,2024-11-16,18,324000,97200,226800,Saturday,22,3,4,3
Filete Mignon,Cortes Premium,55000,27500,2024-11-16,10,550000,275000,275000,Saturday,21,5,3,3
Piña Colada,Cocteles,19000,5700,2024-11-16,20,380000,114000,266000,Saturday,22,5,3,3
Tacos de Arrachera,Comida Rápida,22000,8800,2024-11-16,20,440000,176000,264000,Saturday,20,7,4,3
Whisky JW Black,Licores,25000,12500,2024-11-16,14,350000,175000,175000,Saturday,23,9,2,3
Costillas BBQ,Platos Fuertes,35000,14000,2024-11-17,9,315000,126000,189000,Sunday,14,2,3,2
Bloody Mary,Cocteles,17000,5100,2024-11-17,11,187000,56100,130900,Sunday,13,2,3,2
Alitas BBQ,Comida Rápida,18000,7200,2024-11-17,12,216000,86400,129600,Sunday,15,4,4,2
Modelo Especial,Cervezas,8000,3200,2024-11-17,26,208000,83200,124800,Sunday,16,6,5,3
Hamburguesa Angus,Comida Rápida,28000,11200,2024-11-17,10,280000,112000,168000,Sunday,14,8,4,2
Corona Extra,Cervezas,8000,3200,2024-11-17,20,160000,64000,96000,Sunday,15,8,4,2
Quesadillas Mixtas,Comida Rápida,15000,6000,2024-11-18,4,60000,24000,36000,Monday,19,1,2,1
Cerveza Artesanal,Cervezas,12000,4800,2024-11-18,5,60000,24000,36000,Monday,20,1,2,1
Nachos Supreme,Comida Rápida,16000,6400,2024-11-18,4,64000,25600,38400,Monday,21,3,2,2
Michelada Especial,Cocteles,15000,4500,2024-11-18,6,90000,27000,63000,Monday,20,3,2,2
